Scan Configurations
Target Ip-Address : 45.33.32.156     
No of Ports to scan : 250
Scans to be performed : NULL FIN UDP 
No of threads : 1
Scanning..
...................
Scan took 252.60933 secs
IP address: 45.33.32.156

Open ports:
Port      Service Name (if applicable) Results                                       Conclusion
------------------------------------------------------------------------------------------------------
123       ntp                          NULL(Filtered) FIN(Filtered) UDP(Open)        Open

Closed/Filtered/Unfiltered ports:
Port      Service Name (if applicable) Results                                       Conclusion
------------------------------------------------------------------------------------------------------
96        dixie                        NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
97        swift-rvf                    NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
98        linuxconf                    NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
99        metagram                     NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
100       newacct                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
101       hostname                     NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
102       iso-tsap                     NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
103       gppitnp                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
104       acr-nema                     NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
105       csnet-ns                     NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
106       pop3pw                       NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
107       rtelnet                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
108       snagas                       NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
109       pop2                         NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
110       pop3                         NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
111       rpcbind                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
112       mcidas                       NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
113       ident                        NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
114       audionews                    NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
115       sftp                         NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
116       ansanotify                   NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
117       uucp-path                    NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
118       sqlserv                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
119       nntp                         NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
120       cfdptkt                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
121       erpc                         NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
122       smakynet                     NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
124       ansatrader                   NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
125       locus-map                    NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
126       unitary                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
127       locus-con                    NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
128       gss-xlicen                   NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
129       pwdgen                       NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
130       cisco-fna                    NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
131       cisco-tna                    NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
132       cisco-sys                    NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
133       statsrv                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
134       ingres-net                   NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
135       msrpc                        NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
136       profile                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
137       netbios-ns                   NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
138       netbios-dgm                  NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
139       netbios-ssn                  NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
140       emfis-data                   NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
141       emfis-cntl                   NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
142       bl-idm                       NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
143       imap                         NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
144       news                         NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
145       uaac                         NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
146       iso-tp0                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
147       iso-ip                       NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
148       cronus                       NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
149       aed-512                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
150       sql-net                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
151       hems                         NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
152       bftp                         NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
153       sgmp                         NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
154       netsc-prod                   NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
155       netsc-dev                    NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
156       sqlsrv                       NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
157       knet-cmp                     NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
158       pcmail-srv                   NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
159       nss-routing                  NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
160       sgmp-traps                   NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
161       snmp                         NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
162       snmptrap                     NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
163       cmip-man                     NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
164       cmip-agent                   NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
165       xns-courier                  NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
